Area Fips,State Name,Annual Avg Emplvl,Annual Avg Estabs,Annual Avg Wkly Wage,Avg Annual Pay,Total Annual Wages
06071,California,845908,77170,1199,62368,52757761723
06073,California,1536541,133031,1593,82854,127309240480
06075,California,707646,66657,3348,174103,123203197067
06077,California,287828,22110,1217,63300,18219442197
06079,California,121958,11662,1179,61334,7480161833
06081,California,416422,31186,3778,196441,81802394007
06083,California,216323,17497,1340,69664,15069956439
06085,California,1116581,83418,3789,197043,220014308093
06087,California,104514,10171,1300,67622,7067467213
06089,California,70090,8748,1141,59352,4159981722
06091,California,611,135,972,50525,30853870
06093,California,14205,1836,1033,53720,763109256
06095,California,143366,13772,1373,71403,10236726211
06097,California,206849,21652,1373,71422,14773528488
06099,California,199396,17952,1227,63795,12720389359
06101,California,32774,4205,1061,55174,1808273309
06103,California,19740,2295,1099,57144,1128029195
06105,California,2918,450,1080,56151,163820348
06107,California,177657,14758,1020,53038,9422570937
06109,California,18221,1890,1129,58725,1070023912
06111,California,336272,31435,1356,70487,23702861713
06113,California,110302,8004,1474,76659,8455607358
06115,California,21061,2146,1287,66931,1409608295
06999,California,561022,73262,2632,136873,76788580745
08000,Colorado,2897901,249868,1544,80287,232663217178
08001,Colorado,249299,14156,1420,73817,18402538898
08003,Colorado,8152,623,947,49261,401588229
08005,Colorado,339996,26450,1647,85628,29113262658
08007,Colorado,4873,695,943,49060,239047793
08009,Colorado,1171,123,778,40474,47398028
08011,Colorado,1178,97,938,48755,57446003
08013,Colorado,193920,18751,1854,96397,18693265316
08014,Colorado,41920,3530,2183,113531,4759179877
08015,Colorado,9229,1244,1014,52718,486560252
08017,Colorado,720,103,1106,57510,41416558
08019,Colorado,3323,410,1262,65645,218132987
08021,Colorado,1648,203,794,41310,68079250
08023,Colorado,962,116,781,40602,39079596
08025,Colorado,1155,76,1069,55598,64206080
08027,Colorado,1019,201,855,44456,45293746
08029,Colorado,8997,1041,920,47843,430452316
08031,Colorado,565183,43024,1958,101834,57555001125
08033,Colorado,545,100,797,41463,22607694
08035,Colorado,147461,16132,1634,84978,12530965604
08037,Colorado,35441,3891,1255,65248,2312431174
08039,Colorado,4889,900,1155,60082,293714217
08041,Colorado,309483,25331,1298,67491,20887304736
08043,Colorado,14574,1124,1062,55243,805095467
08045,Colorado,27766,3052,1241,64549,1792284052
08047,Colorado,4712,228,1306,67931,320074551
08049,Colorado,8117,1003,1013,52669,427505291
08051,Colorado,9692,1343,1034,53768,521130621
08053,Colorado,307,79,780,40561,12469009
08055,Colorado,1830,208,853,44374,81219697
08057,Colorado,589,94,918,47714,28095840
08059,Colorado,248082,25019,1512,78598,19498796615
08061,Colorado,489,53,853,44375,21692040
08063,Colorado,3013,333,914,47531,143209729
08065,Colorado,2935,293,1110,57697,169350140
08067,Colorado,26983,3080,1192,61965,1672006079
08069,Colorado,175265,15314,1344,69912,12253055642
08071,Colorado,4776,586,861,44773,213815551
08073,Colorado,2212,174,1008,52392,115878475
08075,Colorado,7704,656,971,50507,389091985
08077,Colorado,66864,5690,1102,57309,3831948109
08079,Colorado,630,84,826,42967,27051336
08081,Colorado,4705,464,1108,57630,271149034
08083,Colorado,9453,1029,888,46173,436477402
08085,Colorado,17014,1725,1013,52650,895817442
08087,Colorado,13106,880,1094,56874,745389429
08089,Colorado,6054,512,892,46375,280771709
08091,Colorado,2214,396,964,50140,111030447
08093,Colorado,3132,696,1054,54828,171735432
08095,Colorado,1782,186,961,49981,89045255
08097,Colorado,18030,2084,1503,78151,1409025929
08099,Colorado,4802,402,855,44451,213458971
08101,Colorado,62392,3891,1080,56178,3505101708
08103,Colorado,2889,276,1174,61045,176358892
08105,Colorado,4482,500,943,49025,219748199
08107,Colorado,16768,2126,1159,60252,1010334115
08109,Colorado,1768,233,826,42969,75954543
08111,Colorado,474,94,716,37238,17663262
08113,Colorado,6077,805,1129,58699,356716020
08115,Colorado,734,97,853,44343,32551723
08117,Colorado,22553,2515,1093,56817,1281399632
08119,Colorado,8473,1053,1038,53957,457199228
08121,Colorado,1178,154,834,43384,51128024
08123,Colorado,118827,9567,1277,66380,7887719279
08125,Colorado,3996,437,953,49574,198100429
08999,Colorado,29892,4134,2404,125002,3736598708
09000,Connecticut,1683378,148930,1683,87516,147322927878
09110,Connecticut,522687,36617,1594,82874,43317077233
09120,Connecticut,115460,10884,1441,74938,8652304567
09130,Connecticut,73682,6800,1353,70364,5184527190
09140,Connecticut,160111,13526,1377,71603,11464441775
09150,Connecticut,28792,2962,1120,58265,1677569967
09160,Connecticut,37684,4670,1237,64312,2423533016
09170,Connecticut,281946,20772,1452,75517,21291839213
09180,Connecticut,127106,9101,1356,70518,8963231020
09190,Connecticut,287189,33324,2482,129052,37062275477
09999,Connecticut,48721,10272,2876,149547,7286128420
10000,Delaware,477336,45792,1392,72408,34562814160
10001,Delaware,71071,5852,1105,57464,4084038467
10003,Delaware,303806,27696,1545,80334,24405857939
10005,Delaware,94273,11171,1059,55078,5192379669
10999,Delaware,8185,1073,2069,107578,880538085
11000,District of Columbia,759666,52240,2365,122989,93430310874
11001,District of Columbia,759572,52228,2365,122982,93413600767
11999,District of Columbia,94,12,3434,178559,16710107
12000,Florida,9836491,881921,1336,69470,683345299581
12001,Florida,139023,8212,1227,63829,8873715844
12003,Florida,7548,522,858,44619,336784970
12005,Florida,82632,6848,1027,53407,4413119182
12007,Florida,6314,566,940,48898,308755206
12009,Florida,242124,18850,1309,68051,16476645014
12011,Florida,864520,81808,1375,71492,61805959173
12013,Florida,3198,261,802,41721,133432894
12015,Florida,56024,5918,1040,54082,3029868606
12017,Florida,34702,3656,941,48953,1698750925
12019,Florida,57413,5454,1052,54688,3139814427
12021,Florida,171813,18444,1308,68041,11690400324
12023,Florida,24644,1818,986,51261,1263261279
12027,Florida,9915,739,949,49347,489261996
12029,Florida,2968,284,878,45652,135486432
12031,Florida,563527,35090,1378,71652,40377862438
12033,Florida,145972,9738,1159,60268,8797425690
12035,Florida,28244,3423,967,50301,1420738826
12037,Florida,3545,426,844,43873,155516087
12039,Florida,16317,908,996,51813,845418317
12041,Florida,3814,394,901,46829,178580673
12043,Florida,2005,204,1079,56125,112530465
12045,Florida,4562,536,983,51111,233180888
12047,Florida,3134,248,1107,57583,180455468
12049,Florida,7044,596,908,47192,332415411
12051,Florida,12377,1055,1059,55090,681826400
12053,Florida,50853,4658,971,50502,2568217004
12055,Florida,28823,2672,922,47926,1381364112
12057,Florida,789442,58449,1447,75256,59410345140
12059,Florida,3627,401,805,41883,151921625
12061,Florida,57522,5868,1115,57991,3335752517
12063,Florida,14830,1052,910,47323,701784162
12065,Florida,3060,388,923,47974,146783874
12067,Florida,1408,159,909,47254,66533279
12069,Florida,117354,10822,1021,53106,6232213246
12071,Florida,299283,28954,1184,61578,18429344431
12073,Florida,163754,11134,1191,61906,10137404399
12075,Florida,9153,1134,839,43623,399298705
12077,Florida,1846,140,958,49828,91998810
12079,Florida,4811,448,851,44239,212816193
12081,Florida,143894,14624,1170,60844,8755005991
12083,Florida,119528,10226,1010,52526,6278278280
12085,Florida,76510,7584,1143,59415,4545828765
12086,Florida,1257569,123309,1492,77609,97598796846
12087,Florida,47058,5008,1129,58702,2762378272
12089,Florida,27451,2944,1092,56807,1559394784
12091,Florida,89705,7597,1185,61616,5527295069
12093,Florida,12349,1089,931,48406,597775665
12095,Florida,949918,56038,1304,67805,64409509171
12097,Florida,115837,10530,1010,52525,6084337148
12099,Florida,666889,71342,1485,77246,51514430310
12101,Florida,145102,15144,1075,55908,8112436648
12103,Florida,447680,41518,1298,67519,30226849183
12105,Florida,260590,17281,1071,55697,14513954386
12107,Florida,17320,1593,992,51592,893579025
12109,Florida,98819,11005,1154,60008,5929908246
12111,Florida,90334,8744,1024,53238,4809174233
12113,Florida,43548,4629,985,51217,2230407924
12115,Florida,190078,21213,1253,65133,12380281857
12117,Florida,213221,18029,1259,65449,13955012451
12119,Florida,40436,2697,1113,57856,2339468030
12121,Florida,12030,934,916,47639,573091295
12123,Florida,5715,502,903,46934,268248145
12125,Florida,3543,225,1017,52907,187456708
12127,Florida,189265,16756,1041,54114,10241834821
12129,Florida,6620,634,934,48580,321610323
12131,Florida,34785,4125,1080,56144,1952977128
12133,Florida,6230,552,876,45572,283938185
12999,Florida,485320,73774,2144,111504,54115056260
13000,Georgia,4862001,391882,1358,70607,343289373313
13001,Georgia,7572,503,1188,61770,467714405
13003,Georgia,2123,126,955,49678,105462578
13005,Georgia,3784,290,934,48583,183855474
13007,Georgia,437,70,884,45963,20066524
13009,Georgia,16169,995,844,43911,710012732
13011,Georgia,4876,383,863,44856,218730586
13013,Georgia,24098,1735,1026,53359,1285852802
13015,Georgia,46472,2982,1109,57660,2679584564
13017,Georgia,5736,372,875,45500,261008565
13019,Georgia,3795,323,803,41776,158556697
13021,Georgia,78539,4790,1065,55370,4348739319
13023,Georgia,3129,220,875,45487,142312697
13025,Georgia,2574,262,865,44972,115742756
13027,Georgia,3302,316,909,47261,156060783
13029,Georgia,11459,1085,989,51413,589152026
13031,Georgia,28263,1922,906,47121,1331802459
13033,Georgia,7429,476,1533,79708,592170012
13035,Georgia,8422,550,932,48477,408280137
13037,Georgia,1208,128,873,45370,54811314
13039,Georgia,15883,1203,1055,54858,871327672
13043,Georgia,2937,272,866,45049,132292720
13045,Georgia,45530,2767,1093,56823,2587161194
13047,Georgia,16284,1230,864,44946,731914362
13049,Georgia,2082,193,900,46782,97412315
13051,Georgia,170836,10826,1189,61834,10563476176
13053,Georgia,2066,134,967,50259,103822168
13055,Georgia,4989,388,845,43955,219311621
13057,Georgia,74280,8029,1044,54283,4032116439
13059,Georgia,72792,3952,1110,57718,4201425285
13061,Georgia,589,74,750,38988,22980395
13063,Georgia,130345,5233,1481,77005,10037281307
13065,Georgia,2450,180,886,46073,112894222
